rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate
823.24,2020,1,2020H1,1,Cork,Munster,Macroom,"Macroom, Cork",All property types,All bedrooms,,False,False,False
919.78,2020,1,2020H1,1,Cork,Munster,Mallow,"Mallow, Cork",All property types,All bedrooms,,False,False,False
1035.62,2020,1,2020H1,1,Cork,Munster,Midleton,"Midleton, Cork",All property types,All bedrooms,,False,False,False
731.61,2020,1,2020H1,1,Cork,Munster,Millstreet,"Millstreet, Cork",All property types,All bedrooms,,False,False,False
747.4,2020,1,2020H1,1,Cork,Munster,Mitchelstown,"Mitchelstown, Cork",All property types,All bedrooms,,False,False,False
1088.19,2020,1,2020H1,1,Cork,Munster,Passage West,"Passage West, Cork",All property types,All bedrooms,,False,False,False
944.17,2020,1,2020H1,1,Cork,Munster,Rathcormac,"Rathcormac, Cork",All property types,All bedrooms,,False,False,False
1398.66,2020,1,2020H1,1,Cork,Munster,Rochestown,"Rochestown, Cork",All property types,All bedrooms,,False,False,False
702.56,2020,1,2020H1,1,Cork,Munster,Skibbereen,"Skibbereen, Cork",All property types,All bedrooms,,False,False,False
1024.92,2020,1,2020H1,1,Cork,Munster,Whitegate,"Whitegate, Cork",All property types,All bedrooms,,False,False,False
1199.81,2020,1,2020H1,1,Cork,Munster,Wilton,"Wilton, Cork",All property types,All bedrooms,,False,False,False
827.06,2020,1,2020H1,1,Cork,Munster,Youghal,"Youghal, Cork",All property types,All bedrooms,,False,False,False
585.6,2020,1,2020H1,1,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
580.95,2020,1,2020H1,1,Donegal,Ulster,Donegal Town,Donegal Town,All property types,All bedrooms,,False,False,False
564.88,2020,1,2020H1,1,Donegal,Ulster,Ballybofey,"Ballybofey, Donegal",All property types,All bedrooms,,False,False,False
559.25,2020,1,2020H1,1,Donegal,Ulster,Buncrana,"Buncrana, Donegal",All property types,All bedrooms,,False,False,False
519.77,2020,1,2020H1,1,Donegal,Ulster,Bundoran,"Bundoran, Donegal",All property types,All bedrooms,,False,False,False
470.85,2020,1,2020H1,1,Donegal,Ulster,Carndonagh,"Carndonagh, Donegal",All property types,All bedrooms,,False,False,False
645.33,2020,1,2020H1,1,Donegal,Ulster,Letterkenny,"Letterkenny, Donegal",All property types,All bedrooms,,False,False,False
511.67,2020,1,2020H1,1,Donegal,Ulster,Lifford,"Lifford, Donegal",All property types,All bedrooms,,False,False,False
532.93,2020,1,2020H1,1,Donegal,Ulster,Stranorlar,"Stranorlar, Donegal",All property types,All bedrooms,,False,False,False
1719.68,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1375.22,2020,1,2020H1,1,Dublin,Leinster,Balbriggan,"Balbriggan, Dublin",All property types,All bedrooms,,True,True,False
2120.61,2020,1,2020H1,1,Dublin,Leinster,Blackrock,"Blackrock, Dublin",All property types,All bedrooms,,True,True,False
2160.81,2020,1,2020H1,1,Dublin,Leinster,Booterstown,"Booterstown, Dublin",All property types,All bedrooms,,True,True,False
2542.88,2020,1,2020H1,1,Dublin,Leinster,Dalkey,"Dalkey, Dublin",All property types,All bedrooms,,True,True,False
1629.77,2020,1,2020H1,1,Dublin,Leinster,Donabate,"Donabate, Dublin",All property types,All bedrooms,,True,True,False
1941.58,2020,1,2020H1,1,Dublin,Leinster,Dun Laoghaire,"Dun Laoghaire, Dublin",All property types,All bedrooms,,True,True,False
2415.92,2020,1,2020H1,1,Dublin,Leinster,Glenageary,"Glenageary, Dublin",All property types,All bedrooms,,True,True,False
1936.86,2020,1,2020H1,1,Dublin,Leinster,Howth,"Howth, Dublin",All property types,All bedrooms,,True,True,False
2302.35,2020,1,2020H1,1,Dublin,Leinster,Killiney,"Killiney, Dublin",All property types,All bedrooms,,True,True,False
1612.15,2020,1,2020H1,1,Dublin,Leinster,Kinsealy,"Kinsealy, Dublin",All property types,All bedrooms,,True,True,False
1626.08,2020,1,2020H1,1,Dublin,Leinster,Lucan,"Lucan, Dublin",All property types,All bedrooms,,True,True,False
1494.33,2020,1,2020H1,1,Dublin,Leinster,Lusk,"Lusk, Dublin",All property types,All bedrooms,,True,True,False
2033.02,2020,1,2020H1,1,Dublin,Leinster,Malahide,"Malahide, Dublin",All property types,All bedrooms,,True,True,False
1834.73,2020,1,2020H1,1,Dublin,Leinster,Monkstown,"Monkstown, Dublin",All property types,All bedrooms,,True,True,False
2645.35,2020,1,2020H1,1,Dublin,Leinster,Mount Merrion,"Mount Merrion, Dublin",All property types,All bedrooms,,True,True,False
1857.0,2020,1,2020H1,1,Dublin,Leinster,Portmarnock,"Portmarnock, Dublin",All property types,All bedrooms,,True,True,False
1519.25,2020,1,2020H1,1,Dublin,Leinster,Rathcoole,"Rathcoole, Dublin",All property types,All bedrooms,,True,True,False
1436.95,2020,1,2020H1,1,Dublin,Leinster,Rush,"Rush, Dublin",All property types,All bedrooms,,True,True,False
1615.55,2020,1,2020H1,1,Dublin,Leinster,Saggart,"Saggart, Dublin",All property types,All bedrooms,,True,True,False
2160.77,2020,1,2020H1,1,Dublin,Leinster,Sandycove,"Sandycove, Dublin",All property types,All bedrooms,,True,True,False
1686.83,2020,1,2020H1,1,Dublin,Leinster,Shankill,"Shankill, Dublin",All property types,All bedrooms,,True,True,False
1483.44,2020,1,2020H1,1,Dublin,Leinster,Skerries,"Skerries, Dublin",All property types,All bedrooms,,True,True,False
1943.32,2020,1,2020H1,1,Dublin,Leinster,Stillorgan,"Stillorgan, Dublin",All property types,All bedrooms,,True,True,False
1548.75,2020,1,2020H1,1,Dublin,Leinster,Swords,"Swords, Dublin",All property types,All bedrooms,,True,True,False
1660.79,2020,1,2020H1,1,Dublin,Leinster,Dublin 1,Dublin 1,All property types,All bedrooms,,True,True,False
1873.55,2020,1,2020H1,1,Dublin,Leinster,I.F.S.C.,"I.F.S.C., Dublin 1",All property types,All bedrooms,,True,True,False
1693.95,2020,1,2020H1,1,Dublin,Leinster,Parnell Street,"Parnell Street, Dublin 1",All property types,All bedrooms,,True,True,False
2161.4,2020,1,2020H1,1,Dublin,Leinster,Spencer Dock,"Spencer Dock, Dublin 1",All property types,All bedrooms,,True,True,False
1612.07,2020,1,2020H1,1,Dublin,Leinster,Summerhill,"Summerhill, Dublin 1",All property types,All bedrooms,,True,True,False
2207.54,2020,1,2020H1,1,Dublin,Leinster,Dublin 2,Dublin 2,All property types,All bedrooms,,True,True,False
2054.36,2020,1,2020H1,1,Dublin,Leinster,Charlemont Street,"Charlemont Street, Dublin 2",All property types,All bedrooms,,True,True,False
2491.91,2020,1,2020H1,1,Dublin,Leinster,Grand Canal Dock,"Grand Canal Dock, Dublin 2",All property types,All bedrooms,,True,True,False
2412.01,2020,1,2020H1,1,Dublin,Leinster,Hanover Quay,"Hanover Quay, Dublin 2",All property types,All bedrooms,,True,True,False
1804.41,2020,1,2020H1,1,Dublin,Leinster,Pearse Street,"Pearse Street, Dublin 2",All property types,All bedrooms,,True,True,False
1866.46,2020,1,2020H1,1,Dublin,Leinster,Temple Bar,"Temple Bar, Dublin 2",All property types,All bedrooms,,True,True,False
1835.97,2020,1,2020H1,1,Dublin,Leinster,Townsend Street,"Townsend Street, Dublin 2",All property types,All bedrooms,,True,True,False
1711.05,2020,1,2020H1,1,Dublin,Leinster,Dublin 3,Dublin 3,All property types,All bedrooms,,True,True,False
1511.54,2020,1,2020H1,1,Dublin,Leinster,Clonliffe,"Clonliffe, Dublin 3",All property types,All bedrooms,,True,True,False
1725.59,2020,1,2020H1,1,Dublin,Leinster,Clontarf,"Clontarf, Dublin 3",All property types,All bedrooms,,True,True,False
1563.9,2020,1,2020H1,1,Dublin,Leinster,Drumcondra,"Drumcondra, Dublin 3",All property types,All bedrooms,,True,True,False
1808.49,2020,1,2020H1,1,Dublin,Leinster,East Wall,"East Wall, Dublin 3",All property types,All bedrooms,,True,True,False
1463.58,2020,1,2020H1,1,Dublin,Leinster,Fairview,"Fairview, Dublin 3",All property types,All bedrooms,,True,True,False
1791.74,2020,1,2020H1,1,Dublin,Leinster,Marino,"Marino, Dublin 3",All property types,All bedrooms,,True,True,False
1664.44,2020,1,2020H1,1,Dublin,Leinster,North Strand,"North Strand, Dublin 3",All property types,All bedrooms,,True,True,False
2236.07,2020,1,2020H1,1,Dublin,Leinster,Dublin 4,Dublin 4,All property types,All bedrooms,,True,True,False
2415.94,2020,1,2020H1,1,Dublin,Leinster,Ballsbridge,"Ballsbridge, Dublin 4",All property types,All bedrooms,,True,True,False
2088.41,2020,1,2020H1,1,Dublin,Leinster,Donnybrook,"Donnybrook, Dublin 4",All property types,All bedrooms,,True,True,False
2005.09,2020,1,2020H1,1,Dublin,Leinster,Irishtown,"Irishtown, Dublin 4",All property types,All bedrooms,,True,True,False
1969.7,2020,1,2020H1,1,Dublin,Leinster,Merrion,"Merrion, Dublin 4",All property types,All bedrooms,,True,True,False
2127.35,2020,1,2020H1,1,Dublin,Leinster,Pembroke,"Pembroke, Dublin 4",All property types,All bedrooms,,True,True,False
1954.42,2020,1,2020H1,1,Dublin,Leinster,Ringsend,"Ringsend, Dublin 4",All property types,All bedrooms,,True,True,False
2298.18,2020,1,2020H1,1,Dublin,Leinster,Sandymount,"Sandymount, Dublin 4",All property types,All bedrooms,,True,True,False
1679.75,2020,1,2020H1,1,Dublin,Leinster,Dublin 5,Dublin 5,All property types,All bedrooms,,True,True,False
1618.6,2020,1,2020H1,1,Dublin,Leinster,Artane,"Artane, Dublin 5",All property types,All bedrooms,,True,True,False
1786.51,2020,1,2020H1,1,Dublin,Leinster,Killester,"Killester, Dublin 5",All property types,All bedrooms,,True,True,False
1710.11,2020,1,2020H1,1,Dublin,Leinster,Raheny,"Raheny, Dublin 5",All property types,All bedrooms,,True,True,False
1623.17,2020,1,2020H1,1,Dublin,Leinster,Dublin 6,Dublin 6,All property types,All bedrooms,,True,True,False
2375.12,2020,1,2020H1,1,Dublin,Leinster,Dartry,"Dartry, Dublin 6",All property types,All bedrooms,,True,True,False
1660.59,2020,1,2020H1,1,Dublin,Leinster,Harolds Cross,"Harolds Cross, Dublin 6",All property types,All bedrooms,,True,True,False
2038.13,2020,1,2020H1,1,Dublin,Leinster,Milltown,"Milltown, Dublin 6",All property types,All bedrooms,,True,True,False
1775.43,2020,1,2020H1,1,Dublin,Leinster,Ranelagh,"Ranelagh, Dublin 6",All property types,All bedrooms,,True,True,False
1547.86,2020,1,2020H1,1,Dublin,Leinster,Rathgar,"Rathgar, Dublin 6",All property types,All bedrooms,,True,True,False
1389.93,2020,1,2020H1,1,Dublin,Leinster,Rathmines,"Rathmines, Dublin 6",All property types,All bedrooms,,True,True,False
1819.01,2020,1,2020H1,1,Dublin,Leinster,Terenure,"Terenure, Dublin 6",All property types,All bedrooms,,True,True,False
1799.28,2020,1,2020H1,1,Dublin,Leinster,Dublin 6W,Dublin 6W,All property types,All bedrooms,,True,True,False
1681.39,2020,1,2020H1,1,Dublin,Leinster,Harolds Cross,"Harolds Cross, Dublin 6W",All property types,All bedrooms,,True,True,False
2006.44,2020,1,2020H1,1,Dublin,Leinster,Templeogue,"Templeogue, Dublin 6W",All property types,All bedrooms,,True,True,False
1901.27,2020,1,2020H1,1,Dublin,Leinster,Terenure,"Terenure, Dublin 6W",All property types,All bedrooms,,True,True,False
1492.48,2020,1,2020H1,1,Dublin,Leinster,Dublin 7,Dublin 7,All property types,All bedrooms,,True,True,False
1722.8,2020,1,2020H1,1,Dublin,Leinster,Arbour Hill,"Arbour Hill, Dublin 7",All property types,All bedrooms,,True,True,False
1348.05,2020,1,2020H1,1,Dublin,Leinster,Cabra,"Cabra, Dublin 7",All property types,All bedrooms,,True,True,False
1566.38,2020,1,2020H1,1,Dublin,Leinster,Navan Road,"Navan Road, Dublin 7",All property types,All bedrooms,,True,True,False
1498.62,2020,1,2020H1,1,Dublin,Leinster,North Circular Road,"North Circular Road, Dublin 7",All property types,All bedrooms,,True,True,False
1193.21,2020,1,2020H1,1,Dublin,Leinster,Phibsboro,"Phibsboro, Dublin 7",All property types,All bedrooms,,True,True,False
1715.88,2020,1,2020H1,1,Dublin,Leinster,Smithfield,"Smithfield, Dublin 7",All property types,All bedrooms,,True,True,False
1569.7,2020,1,2020H1,1,Dublin,Leinster,Stoneybatter,"Stoneybatter, Dublin 7",All property types,All bedrooms,,True,True,False
1617.39,2020,1,2020H1,1,Dublin,Leinster,Dublin 8,Dublin 8,All property types,All bedrooms,,True,True,False
1641.53,2020,1,2020H1,1,Dublin,Leinster,Christchurch,"Christchurch, Dublin 8",All property types,All bedrooms,,True,True,False
1611.76,2020,1,2020H1,1,Cork,Munster,Cork Street,"Cork Street, Dublin 8",All property types,All bedrooms,,False,True,False
1539.93,2020,1,2020H1,1,Dublin,Leinster,Inchicore,"Inchicore, Dublin 8",All property types,All bedrooms,,True,True,False
1877.91,2020,1,2020H1,1,Dublin,Leinster,Islandbridge,"Islandbridge, Dublin 8",All property types,All bedrooms,,True,True,False
1581.97,2020,1,2020H1,1,Dublin,Leinster,Kilmainham ,"Kilmainham , Dublin 8",All property types,All bedrooms,,True,True,False
1439.71,2020,1,2020H1,1,Dublin,Leinster,Portobello,"Portobello, Dublin 8",All property types,All bedrooms,,True,True,False
1501.41,2020,1,2020H1,1,Dublin,Leinster,Rialto,"Rialto, Dublin 8",All property types,All bedrooms,,True,True,False
1604.17,2020,1,2020H1,1,Dublin,Leinster,South Circular Road,"South Circular Road, Dublin 8",All property types,All bedrooms,,True,True,False
1644.64,2020,1,2020H1,1,Dublin,Leinster,Dublin 9,Dublin 9,All property types,All bedrooms,,True,True,False
1409.45,2020,1,2020H1,1,Dublin,Leinster,Ballymun,"Ballymun, Dublin 9",All property types,All bedrooms,,True,True,False
1691.6,2020,1,2020H1,1,Dublin,Leinster,Beaumont,"Beaumont, Dublin 9",All property types,All bedrooms,,True,True,False
1611.87,2020,1,2020H1,1,Dublin,Leinster,Drumcondra,"Drumcondra, Dublin 9",All property types,All bedrooms,,True,True,False
1544.29,2020,1,2020H1,1,Dublin,Leinster,Glasnevin,"Glasnevin, Dublin 9",All property types,All bedrooms,,True,True,False
1692.84,2020,1,2020H1,1,Dublin,Leinster,Santry,"Santry, Dublin 9",All property types,All bedrooms,,True,True,False
1692.0,2020,1,2020H1,1,Dublin,Leinster,Whitehall,"Whitehall, Dublin 9",All property types,All bedrooms,,True,True,False
1376.6,2020,1,2020H1,1,Dublin,Leinster,Dublin 10,Dublin 10,All property types,All bedrooms,,True,True,False
1407.66,2020,1,2020H1,1,Dublin,Leinster,Ballyfermot,"Ballyfermot, Dublin 10",All property types,All bedrooms,,True,True,False
1471.19,2020,1,2020H1,1,Dublin,Leinster,Cherry Orchard,"Cherry Orchard, Dublin 10",All property types,All bedrooms,,True,True,False
1446.29,2020,1,2020H1,1,Dublin,Leinster,Dublin 11,Dublin 11,All property types,All bedrooms,,True,True,False
1457.46,2020,1,2020H1,1,Dublin,Leinster,Ballymun,"Ballymun, Dublin 11",All property types,All bedrooms,,True,True,False
1442.94,2020,1,2020H1,1,Dublin,Leinster,Finglas,"Finglas, Dublin 11",All property types,All bedrooms,,True,True,False
1648.94,2020,1,2020H1,1,Dublin,Leinster,Glasnevin,"Glasnevin, Dublin 11",All property types,All bedrooms,,True,True,False
1494.01,2020,1,2020H1,1,Dublin,Leinster,Meakstown,"Meakstown, Dublin 11",All property types,All bedrooms,,True,True,False
1681.31,2020,1,2020H1,1,Dublin,Leinster,Dublin 12,Dublin 12,All property types,All bedrooms,,True,True,False
1610.57,2020,1,2020H1,1,Dublin,Leinster,Crumlin,"Crumlin, Dublin 12",All property types,All bedrooms,,True,True,False
1635.52,2020,1,2020H1,1,Dublin,Leinster,Drimnagh,"Drimnagh, Dublin 12",All property types,All bedrooms,,True,True,False
1676.53,2020,1,2020H1,1,Dublin,Leinster,Kimmage,"Kimmage, Dublin 12",All property types,All bedrooms,,True,True,False
1554.43,2020,1,2020H1,1,Dublin,Leinster,Walkinstown,"Walkinstown, Dublin 12",All property types,All bedrooms,,True,True,False
1721.82,2020,1,2020H1,1,Dublin,Leinster,Dublin 13,Dublin 13,All property types,All bedrooms,,True,True,False
1629.11,2020,1,2020H1,1,Dublin,Leinster,Baldoyle,"Baldoyle, Dublin 13",All property types,All bedrooms,,True,True,False
1898.7,2020,1,2020H1,1,Dublin,Leinster,Balgriffin,"Balgriffin, Dublin 13",All property types,All bedrooms,,True,True,False
1604.97,2020,1,2020H1,1,Dublin,Leinster,Clongriffin,"Clongriffin, Dublin 13",All property types,All bedrooms,,True,True,False
1532.41,2020,1,2020H1,1,Dublin,Leinster,Donaghmede,"Donaghmede, Dublin 13",All property types,All bedrooms,,True,True,False
1971.36,2020,1,2020H1,1,Dublin,Leinster,Sutton,"Sutton, Dublin 13",All property types,All bedrooms,,True,True,False
2100.18,2020,1,2020H1,1,Dublin,Leinster,Dublin 14,Dublin 14,All property types,All bedrooms,,True,True,False
2246.82,2020,1,2020H1,1,Dublin,Leinster,Churchtown,"Churchtown, Dublin 14",All property types,All bedrooms,,True,True,False
2223.73,2020,1,2020H1,1,Dublin,Leinster,Clonskeagh,"Clonskeagh, Dublin 14",All property types,All bedrooms,,True,True,False
1989.59,2020,1,2020H1,1,Dublin,Leinster,Dundrum,"Dundrum, Dublin 14",All property types,All bedrooms,,True,True,False
2382.49,2020,1,2020H1,1,Dublin,Leinster,Goatstown,"Goatstown, Dublin 14",All property types,All bedrooms,,True,True,False
1989.84,2020,1,2020H1,1,Dublin,Leinster,Rathfarnham,"Rathfarnham, Dublin 14",All property types,All bedrooms,,True,True,False
1586.84,2020,1,2020H1,1,Dublin,Leinster,Dublin 15,Dublin 15,All property types,All bedrooms,,True,True,False
1684.06,2020,1,2020H1,1,Dublin,Leinster,Ashtown,"Ashtown, Dublin 15",All property types,All bedrooms,,True,True,False
1522.56,2020,1,2020H1,1,Dublin,Leinster,Blanchardstown,"Blanchardstown, Dublin 15",All property types,All bedrooms,,True,True,False
1663.16,2020,1,2020H1,1,Dublin,Leinster,Carpenterstown,"Carpenterstown, Dublin 15",All property types,All bedrooms,,True,True,False
1774.25,2020,1,2020H1,1,Dublin,Leinster,Castleknock,"Castleknock, Dublin 15",All property types,All bedrooms,,True,True,False
1538.37,2020,1,2020H1,1,Dublin,Leinster,Clonee,"Clonee, Dublin 15",All property types,All bedrooms,,True,True,False
1620.0,2020,1,2020H1,1,Dublin,Leinster,Clonsilla,"Clonsilla, Dublin 15",All property types,All bedrooms,,True,True,False
1572.22,2020,1,2020H1,1,Dublin,Leinster,Coolmine,"Coolmine, Dublin 15",All property types,All bedrooms,,True,True,False
1390.93,2020,1,2020H1,1,Dublin,Leinster,Mulhuddart,"Mulhuddart, Dublin 15",All property types,All bedrooms,,True,True,False
1480.0,2020,1,2020H1,1,Dublin,Leinster,Ongar,"Ongar, Dublin 15",All property types,All bedrooms,,True,True,False
1579.19,2020,1,2020H1,1,Dublin,Leinster,Porterstown,"Porterstown, Dublin 15",All property types,All bedrooms,,True,True,False
1467.09,2020,1,2020H1,1,Dublin,Leinster,Royal Canal Park,"Royal Canal Park, Dublin 15",All property types,All bedrooms,,True,True,False
1625.81,2020,1,2020H1,1,Dublin,Leinster,Tyrrelstown,"Tyrrelstown, Dublin 15",All property types,All bedrooms,,True,True,False
1884.53,2020,1,2020H1,1,Dublin,Leinster,Dublin 16,Dublin 16,All property types,All bedrooms,,True,True,False
1870.01,2020,1,2020H1,1,Dublin,Leinster,Ballinteer,"Ballinteer, Dublin 16",All property types,All bedrooms,,True,True,False
1927.36,2020,1,2020H1,1,Dublin,Leinster,Dundrum,"Dundrum, Dublin 16",All property types,All bedrooms,,True,True,False
1816.76,2020,1,2020H1,1,Dublin,Leinster,Knocklyon,"Knocklyon, Dublin 16",All property types,All bedrooms,,True,True,False
1915.49,2020,1,2020H1,1,Dublin,Leinster,Rathfarnham,"Rathfarnham, Dublin 16",All property types,All bedrooms,,True,True,False
1818.57,2020,1,2020H1,1,Dublin,Leinster,Sandyford,"Sandyford, Dublin 16",All property types,All bedrooms,,True,True,False
1458.79,2020,1,2020H1,1,Dublin,Leinster,Dublin 17,Dublin 17,All property types,All bedrooms,,True,True,False
1604.79,2020,1,2020H1,1,Dublin,Leinster,Malahide Road,"Malahide Road, Dublin 17",All property types,All bedrooms,,True,True,False
1927.83,2020,1,2020H1,1,Dublin,Leinster,Dublin 18,Dublin 18,All property types,All bedrooms,,True,True,False
1897.36,2020,1,2020H1,1,Dublin,Leinster,Cabinteely,"Cabinteely, Dublin 18",All property types,All bedrooms,,True,True,False
1955.38,2020,1,2020H1,1,Dublin,Leinster,Carrickmines,"Carrickmines, Dublin 18",All property types,All bedrooms,,True,True,False
2721.04,2020,1,2020H1,1,Dublin,Leinster,Foxrock,"Foxrock, Dublin 18",All property types,All bedrooms,,True,True,False
2023.67,2020,1,2020H1,1,Dublin,Leinster,Leopardstown,"Leopardstown, Dublin 18",All property types,All bedrooms,,True,True,False
1832.45,2020,1,2020H1,1,Dublin,Leinster,Sandyford,"Sandyford, Dublin 18",All property types,All bedrooms,,True,True,False
1763.56,2020,1,2020H1,1,Dublin,Leinster,Stepaside,"Stepaside, Dublin 18",All property types,All bedrooms,,True,True,False
1413.94,2020,1,2020H1,1,Dublin,Leinster,Dublin 20,Dublin 20,All property types,All bedrooms,,True,True,False
1459.31,2020,1,2020H1,1,Dublin,Leinster,Chapelizod,"Chapelizod, Dublin 20",All property types,All bedrooms,,True,True,False
1570.03,2020,1,2020H1,1,Dublin,Leinster,Palmerstown,"Palmerstown, Dublin 20",All property types,All bedrooms,,True,True,False
1504.23,2020,1,2020H1,1,Dublin,Leinster,Clondalkin,"Clondalkin, Dublin 22",All property types,All bedrooms,,True,True,False
1438.71,2020,1,2020H1,1,Dublin,Leinster,Dublin 24,Dublin 24,All property types,All bedrooms,,True,True,False
1641.67,2020,1,2020H1,1,Dublin,Leinster,Ballycullen,"Ballycullen, Dublin 24",All property types,All bedrooms,,True,True,False
1583.79,2020,1,2020H1,1,Dublin,Leinster,Citywest,"Citywest, Dublin 24",All property types,All bedrooms,,True,True,False
1696.41,2020,1,2020H1,1,Dublin,Leinster,Firhouse,"Firhouse, Dublin 24",All property types,All bedrooms,,True,True,False
